title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_lbs,reps,distance_miles,duration_seconds,rpe
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Reverse Grip Lat Pulldown (Cable),,,3,normal,175,6,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Chest Supported Reverse Fly (Dumbbell),,,0,normal,15,10,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Chest Supported Reverse Fly (Dumbbell),,,1,normal,20,8,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Chest Supported Reverse Fly (Dumbbell),,,2,normal,15,8,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Chest Supported Reverse Fly (Dumbbell),,,3,normal,15,6,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Reverse Curl (Barbell),0,,0,normal,50,10,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Reverse Curl (Barbell),0,,1,normal,60,10,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Reverse Curl (Barbell),0,,2,normal,60,8,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Seated Incline Curl (Dumbbell),0,,0,normal,25,10,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Seated Incline Curl (Dumbbell),0,,1,normal,25,10,,,
Back & Bi’s,"7 Aug 2024, 21:09","7 Aug 2024, 22:13",,Seated Incline Curl (Dumbbell),0,,2,normal,25,8,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Deadlift (Smith Machine),,,0,normal,75,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Deadlift (Smith Machine),,,1,normal,115,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Deadlift (Smith Machine),,,2,normal,165,8,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Deadlift (Smith Machine),,,3,normal,205,6,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Hip Thrust (Barbell),,,0,normal,75,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Hip Thrust (Barbell),,,1,normal,105,8,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Hip Thrust (Barbell),,,2,normal,135,8,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Hip Thrust (Barbell),,,3,normal,165,6,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Leg Press (Machine),,,0,warmup,90,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Leg Press (Machine),,,1,normal,180,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Leg Press (Machine),,,2,normal,230,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Leg Press (Machine),,,3,normal,270,8,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Leg Press (Machine),,,4,normal,360,6,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Reverse Lunge (Dumbbell),0,,0,normal,25,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Reverse Lunge (Dumbbell),0,,1,normal,25,8,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Reverse Lunge (Dumbbell),0,,2,normal,30,6,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Goblet Squat,0,,0,normal,45,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Goblet Squat,0,,1,normal,45,8,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Goblet Squat,0,,2,normal,45,6,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Seated Calf Raise,,,0,normal,40,12,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Seated Calf Raise,,,1,normal,47.5,10,,,
Legs,"6 Aug 2024, 21:41","6 Aug 2024, 23:08",,Seated Calf Raise,,,2,normal,47.5,8,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Bench Press (Barbell),,,0,warmup,65,12,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Bench Press (Barbell),,,1,normal,95,12,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Bench Press (Barbell),,,2,normal,125,10,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Bench Press (Barbell),,,3,normal,155,8,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Bench Press (Barbell),,,4,normal,165,5,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Shoulder Press (Dumbbell),,,0,normal,35,12,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Shoulder Press (Dumbbell),,,1,normal,45,10,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Shoulder Press (Dumbbell),,,2,normal,50,8,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Single Arm Tricep Extension (Dumbbell),,,0,normal,15,12,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Single Arm Tricep Extension (Dumbbell),,,1,normal,25,10,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Single Arm Tricep Extension (Dumbbell),,,2,normal,25,8,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Incline Bench Press (Dumbbell),,,0,normal,30,12,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Incline Bench Press (Dumbbell),,,1,normal,40,10,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Incline Bench Press (Dumbbell),,,2,normal,55,7,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Lateral Raise (Dumbbell),,,0,normal,15,12,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Lateral Raise (Dumbbell),,,1,normal,20,10,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Lateral Raise (Dumbbell),,,2,normal,20,8,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Triceps Pushdown,,,0,normal,80,12,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Triceps Pushdown,,,1,normal,120,10,,,
"Chest, Triceps, & Shoulders","4 Aug 2024, 16:51","4 Aug 2024, 18:10",,Triceps Pushdown,,,2,normal,140,8,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Lat Pulldown (Machine),,,0,normal,120,12,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Lat Pulldown (Machine),,,1,normal,125,10,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Lat Pulldown (Machine),,,2,normal,125,8,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Bicep Curl (Cable),,,0,normal,50,12,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Bicep Curl (Cable),,,1,normal,65,10,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Bicep Curl (Cable),,,2,normal,65,8,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Iso-Lateral High Row (Machine),,,0,normal,40,12,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Iso-Lateral High Row (Machine),,,1,normal,70,12,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Iso-Lateral High Row (Machine),,,2,normal,90,10,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Iso-Lateral High Row (Machine),,,3,normal,100,8,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Concentration Curl,,,0,normal,20,12,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Concentration Curl,,,1,normal,25,10,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Concentration Curl,,,2,normal,40,3,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Concentration Curl,,,3,normal,30,7,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Dumbbell Row,,,0,normal,30,12,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Dumbbell Row,,,1,normal,40,10,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Dumbbell Row,,,2,normal,50,8,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Preacher Curl (Dumbbell),,,0,normal,20,12,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Preacher Curl (Dumbbell),,,1,normal,30,4,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Preacher Curl (Dumbbell),,,2,normal,25,7,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Flutter Kicks,,,0,normal,,10,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Flutter Kicks,,,1,normal,,10,,,
Back & Biceps,"2 Aug 2024, 21:42","2 Aug 2024, 22:52",,Flutter Kicks,,,2,normal,,10,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Squat (Barbell),,,0,warmup,75,12,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Squat (Barbell),,,1,normal,105,12,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Squat (Barbell),,,2,normal,135,10,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Squat (Barbell),,,3,normal,165,9,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Seated Leg Curl (Machine),,,0,warmup,70,12,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Seated Leg Curl (Machine),,,1,normal,120,12,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Seated Leg Curl (Machine),,,2,normal,120,8,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Seated Leg Curl (Machine),,,3,normal,120,6,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Hip Abduction (Machine),,,0,normal,100,12,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Hip Abduction (Machine),,,1,normal,150,10,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Hip Abduction (Machine),,,2,normal,170,8,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Hip Adduction (Machine),,,0,normal,100,12,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Hip Adduction (Machine),,,1,normal,150,10,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Hip Adduction (Machine),,,2,normal,140,8,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Romanian Deadlift (Dumbbell),,,0,normal,35,12,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Romanian Deadlift (Dumbbell),,,1,normal,50,10,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Romanian Deadlift (Dumbbell),,,2,normal,60,8,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Single Leg Standing Calf Raise (Dumbbell),,,0,normal,20,12,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Single Leg Standing Calf Raise (Dumbbell),,,1,normal,30,10,,,
Legs,"31 Jul 2024, 21:46","31 Jul 2024, 22:52",,Single Leg Standing Calf Raise (Dumbbell),,,2,normal,40,15,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Bench Press (Barbell),,,0,normal,75,12,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Bench Press (Barbell),,,1,normal,115,10,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Bench Press (Barbell),,,2,normal,135,8,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Bench Press (Barbell),,,3,normal,150,7,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Shoulder Press (Dumbbell),,,0,warmup,20,12,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Shoulder Press (Dumbbell),,,1,normal,30,12,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Shoulder Press (Dumbbell),,,2,normal,40,10,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Shoulder Press (Dumbbell),,,3,normal,45,8,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Single Arm Tricep Extension (Dumbbell),,,0,normal,18,12,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Single Arm Tricep Extension (Dumbbell),,,1,normal,20,10,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Single Arm Tricep Extension (Dumbbell),,,2,normal,25,8,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Incline Bench Press (Dumbbell),,,0,normal,25,12,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Incline Bench Press (Dumbbell),,,1,normal,35,10,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Incline Bench Press (Dumbbell),,,2,normal,45,8,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Lateral Raise (Dumbbell),,,0,normal,10,12,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Lateral Raise (Dumbbell),,,1,normal,20,10,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Lateral Raise (Dumbbell),,,2,normal,20,8,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Triceps Pushdown,,,0,normal,70,12,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Triceps Pushdown,,,1,normal,110,10,,,
"Chest, Triceps, & Shoulders","29 Jul 2024, 21:43","29 Jul 2024, 22:48",,Triceps Pushdown,,,2,normal,120,8,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Lat Pulldown (Machine),,,0,warmup,85,12,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Lat Pulldown (Machine),,,1,normal,100,12,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Lat Pulldown (Machine),,,2,normal,120,10,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Lat Pulldown (Machine),,,3,normal,140,8,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Bicep Curl (Cable),,,0,normal,65,10,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Bicep Curl (Cable),,,1,normal,65,10,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Bicep Curl (Cable),,,2,normal,65,8,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Bicep Curl (Cable),,,3,normal,50,10,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Iso-Lateral High Row (Machine),,,0,normal,70,12,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Iso-Lateral High Row (Machine),,,1,normal,100,7,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Iso-Lateral High Row (Machine),,,2,normal,50,10,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Concentration Curl,,,0,normal,15,12,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Concentration Curl,,,1,normal,20,10,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Concentration Curl,,,2,normal,25,8,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Dumbbell Row,,,0,normal,30,12,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Dumbbell Row,,,1,normal,35,10,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Dumbbell Row,,,2,normal,40,8,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Preacher Curl (Dumbbell),,,0,normal,15,12,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Preacher Curl (Dumbbell),,,1,normal,25,10,,,
Back & Biceps,"28 Jul 2024, 20:43","28 Jul 2024, 21:42",,Preacher Curl (Dumbbell),,,2,normal,25,8,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Squat (Barbell),,,0,warmup,45,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Squat (Barbell),,,1,normal,75,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Squat (Barbell),,,2,normal,115,10,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Squat (Barbell),,,3,normal,155,9,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Seated Leg Curl (Machine),,,0,warmup,55,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Seated Leg Curl (Machine),,,1,normal,115,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Seated Leg Curl (Machine),,,2,normal,145,10,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Seated Leg Curl (Machine),,,3,normal,160,8,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Hip Abduction (Machine),,,0,normal,100,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Hip Abduction (Machine),,,1,normal,145,10,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Hip Abduction (Machine),,,2,normal,160,8,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Hip Adduction (Machine),,,0,normal,100,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Hip Adduction (Machine),,,1,normal,130,10,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Hip Adduction (Machine),,,2,normal,175,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Romanian Deadlift (Dumbbell),,,0,normal,35,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Romanian Deadlift (Dumbbell),,,1,normal,45,10,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Romanian Deadlift (Dumbbell),,,2,normal,55,8,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Single Leg Standing Calf Raise (Dumbbell),,,0,normal,20,12,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Single Leg Standing Calf Raise (Dumbbell),,,1,normal,30,10,,,
Legs,"27 Jul 2024, 21:19","27 Jul 2024, 22:40",,Single Leg Standing Calf Raise (Dumbbell),,,2,normal,35,8,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Bench Press (Barbell),,,0,warmup,45,12,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Bench Press (Barbell),,,1,normal,75,12,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Bench Press (Barbell),,,2,normal,105,10,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Bench Press (Barbell),,,3,normal,125,8,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Bench Press (Barbell),,,4,normal,135,6,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Shoulder Press (Dumbbell),,,0,warmup,20,12,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Shoulder Press (Dumbbell),,,1,normal,25,12,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Shoulder Press (Dumbbell),,,2,normal,35,10,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Shoulder Press (Dumbbell),,,3,normal,40,8,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Single Arm Tricep Extension (Dumbbell),,,0,normal,15,12,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Single Arm Tricep Extension (Dumbbell),,,1,normal,20,10,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Single Arm Tricep Extension (Dumbbell),,,2,normal,20,8,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Incline Bench Press (Dumbbell),,,0,normal,25,12,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Incline Bench Press (Dumbbell),,,1,normal,35,10,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Incline Bench Press (Dumbbell),,,2,normal,40,8,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Lateral Raise (Dumbbell),,,0,normal,10,12,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Lateral Raise (Dumbbell),,,1,normal,20,10,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Lateral Raise (Dumbbell),,,2,normal,20,8,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Bench Press - Close Grip (Barbell),,,0,normal,55,12,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Bench Press - Close Grip (Barbell),,,1,normal,85,10,,,
1. Chest Shoulders and Triceps,"25 Jul 2024, 8:42","25 Jul 2024, 10:14",,Bench Press - Close Grip (Barbell),,,2,normal,105,8,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Lat Pulldown (Machine),,,0,warmup,85,12,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Lat Pulldown (Machine),,,1,normal,100,12,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Lat Pulldown (Machine),,,2,normal,115,10,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Lat Pulldown (Machine),,,3,normal,130,8,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Bicep Curl (Cable),,,0,normal,70,12,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Bicep Curl (Cable),,,1,normal,90,10,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Bicep Curl (Cable),,,2,normal,110,8,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Iso-Lateral High Row (Machine),,,0,normal,40,12,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Iso-Lateral High Row (Machine),,,1,normal,50,10,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Iso-Lateral High Row (Machine),,,2,normal,70,8,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Concentration Curl,,,0,normal,20,12,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Concentration Curl,,,1,normal,25,7,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Concentration Curl,,,2,normal,20,8,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Dumbbell Row,,,0,normal,30,12,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Dumbbell Row,,,1,normal,35,10,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Dumbbell Row,,,2,normal,40,8,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Preacher Curl (Dumbbell),,,0,normal,15,12,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Preacher Curl (Dumbbell),,,1,normal,20,10,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Preacher Curl (Dumbbell),,,2,normal,25,8,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Seated Wrist Extension (Barbell),,,0,failure,40,20,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Seated Wrist Extension (Barbell),,,1,failure,40,15,,,
Back and Biceps,"24 Jul 2024, 7:07","24 Jul 2024, 8:00",,Seated Wrist Extension (Barbell),,,2,failure,40,9,,,
